Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty
Programming,What does API stand for?,Application Programming Interface,Advanced Programming Index,Application Process Interface,Active Protocol Interface,Application Programming Interface,Easy
Programming,Which language is used for web development?,Python,HTML,C,Java,HTML,Easy
Programming,"In Python, '==' checks for:",Identity,Equality,Assignment,None,Equality,Easy
Programming,Which data structure uses LIFO?,Stack,Queue,Tree,Array,Stack,Medium
Programming,OOP stands for:,Object Oriented Programming,Optical Operation Process,Ordered Object Processing,Object Oriented Procedure,Object Oriented Programming,Easy
Programming,What is recursion?,Looping through data,Function calling itself,Pointer increment,Error handling,Function calling itself,Medium
Programming,SQL is used for:,Image processing,Database management,Machine learning,Web rendering,Database management,Medium
Programming,What is Big O notation used for?,Algorithm efficiency,Memory allocation,Error tracking,Debugging,Algorithm efficiency,Hard
Programming,Which of these is immutable in Python?,List,Set,Tuple,Dictionary,Tuple,Medium
Programming,What is the result of 3 + 2 * 2?,10,7,8,9,7,Easy
Android Development,What is an Activity?,UI Screen,Background Process,Layout File,Library,UI Screen,Easy
Android Development,What is an Intent?,Message for action,XML Layout,Database,Notification,Message for action,Medium
Android Development,Android apps are written in:,Java/Kotlin,Swift,C#,Python,Java/Kotlin,Easy
Android Development,What does APK stand for?,Android Package Kit,Application Key,App Package Kernel,Android Program Key,Android Package Kit,Medium
Android Development,What is RecyclerView used for?,Scrolling lists,Database,Navigation,Storage,Scrolling lists,Medium
Android Development,What file defines app permissions?,AndroidManifest.xml,MainActivity.java,build.gradle,strings.xml,AndroidManifest.xml,Easy
Android Development,Gradle is used for:,Build automation,Code debugging,UI testing,Data storage,Build automation,Medium
Android Development,Which company developed Android?,Google,Microsoft,IBM,Oracle,Google,Easy
Android Development,What is a Fragment?,UI component inside an Activity,XML tag,Database entity,Network module,UI component inside an Activity,Hard
Android Development,What layout arranges elements vertically?,LinearLayout,RelativeLayout,ConstraintLayout,FrameLayout,LinearLayout,Easy
Aptitude,"If 2x + 4 = 10, what is x?",2,3,4,6,3,Easy
Aptitude,"Next term: 2, 4, 8, 16, ?",18,20,32,24,32,Easy
Aptitude,A train 120m long crosses a pole in 10s. Speed?,10 m/s,12 m/s,14 m/s,15 m/s,12 m/s,Medium
Aptitude,"If 40% of a number is 80, find number.",120,160,200,240,200,Medium
Aptitude,Simplify: (5×6)/3,10,12,8,9,10,Easy
Aptitude,"Odd one out: Cat, Dog, Cow, Chair",Cat,Dog,Chair,Cow,Chair,Easy
Aptitude,Square root of 225?,10,12,15,20,15,Easy
Aptitude,"If 12 pens cost ₹180, cost of one pen?",₹10,₹12,₹15,₹20,₹15,Medium
Aptitude,Angle between hands at 3:15?,7.5°,30°,45°,52.5°,7.5°,Hard
Aptitude,Rearrange: RAEHT,HATER,HEART,EARTH,REATH,HEART,Medium
Movies,Who directed Inception?,Nolan,Spielberg,Cameron,Tarantino,Nolan,Easy
Movies,Who plays Iron Man?,Chris Evans,Chris Hemsworth,Robert Downey Jr.,Tom Holland,Robert Downey Jr.,Easy
Movies,Oscar Best Picture 2020?,Parasite,Joker,1917,Nomadland,Parasite,Medium
Movies,Fictional city in Black Panther?,Wakanda,Zion,Asgard,Gotham,Wakanda,Easy
Movies,First Pokémon created?,Bulbasaur,Pikachu,Mew,Rhydon,Rhydon,Hard
Movies,Voice of Elsa?,Idina Menzel,Ariana Grande,Taylor Swift,Adele,Idina Menzel,Medium
Movies,In which year was Netflix founded?,1995,1997,2001,2005,1997,Medium
Movies,Highest-grossing film?,Avatar,Avengers: Endgame,Titanic,Frozen II,Avatar,Hard
Movies,Who directed Titanic?,James Cameron,Spielberg,Nolan,Ridley Scott,James Cameron,Easy
Movies,Harry Potter’s owl name?,Errol,Pigwidgeon,Hedwig,Scabbers,Hedwig,Easy
Literature,Who wrote Pride and Prejudice?,Jane Austen,Emily Bronte,George Eliot,Mary Shelley,Jane Austen,Easy
Literature,Who wrote The Raven?,Poe,Frost,Shakespeare,Wordsworth,Poe,Medium
Literature,Who wrote 1984?,Orwell,Huxley,Wells,Hemingway,Orwell,Easy
Literature,Author of The Alchemist?,Coelho,Tolstoy,Maugham,Rushdie,Coelho,Easy
Literature,What is an oxymoron?,Contradictory phrase,Comparison,Exaggeration,Symbol,Contradictory phrase,Medium
Literature,Synonym of 'benevolent'?,Kind,Cruel,Proud,Lazy,Kind,Easy
Literature,Figure of speech in 'Time is money'?,Simile,Metaphor,Alliteration,Irony,Metaphor,Medium
Literature,Who wrote The Odyssey?,Homer,Virgil,Socrates,Plato,Homer,Hard
Literature,What is the antonym of 'ancient'?,Modern,Old,Primitive,Archaic,Modern,Easy
Literature,What is the plural of 'phenomenon'?,Phenomenas,Phenomenons,Phenomena,Phenomeni,Phenomena,Medium
